rank,start_date,end_date,duration_days,peak_date,peak_k0001,peak_k001,peak_k01,peak_omega,components_json
31,0993-03-13T12:00:00Z,0993-04-12T12:00:00Z,31,0993-03-28T12:00:00Z,1,1,2,3.822788953781128,"[{""component_p"":4.054842975165229e-06,""best_module_id"":""m066"",""best_module_label"":""May 28 Venus equidistant Jupiter/Uranus"",""families"":[""f15_1918_spring""],""module_ids"":[""m066""],""bodies"":[""Venus"",""Jupiter"",""Uranus""]},{""component_p"":0.0037088298704475164,""best_module_id"":""m011"",""best_module_label"":""Pluto\u2013Neptune\u2013Uranus 60/60/120 triad"",""families"":[""f01_2026_sep01"",""f04_2023_oct07""],""module_ids"":[""m002"",""m011""],""bodies"":[""Pluto"",""Neptune"",""Uranus""]}]"
32,1244-07-24T12:00:00Z,1244-08-07T12:00:00Z,15,1244-07-31T12:00:00Z,1,1,2,3.762586832046509,"[{""component_p"":1.6219371900660917e-05,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.001065072137862444,""best_module_id"":""m035"",""best_module_label"":""Jupiter\u2013Saturn\u2013Pluto midpoint"",""families"":[""f10_1978_dec11"",""f14_2000_mar10""],""module_ids"":[""m035"",""m055""],""bodies"":[""Jupiter"",""Saturn"",""Pluto""]}]"
33,1568-12-04T12:00:00Z,1568-12-06T12:00:00Z,3,1568-12-05T12:00:00Z,1,1,2,3.6548991203308105,"[{""component_p"":9.461300578550436e-06,""best_module_id"":""m021"",""best_module_label"":""Mercury\u2013Venus\u2013Mars triple node"",""families"":[""f07_2008_sep15""],""module_ids"":[""m021""],""bodies"":[""Mercury"",""Venus"",""Mars""]},{""component_p"":0.002339644357562065,""best_module_id"":""m060"",""best_module_label"":""Apr 5 Venus\u2013Uranus double node"",""families"":[""f15_1918_spring""],""module_ids"":[""m060""],""bodies"":[""Venus"",""Uranus""]}]"
34,0613-04-12T12:00:00Z,0613-04-24T12:00:00Z,13,0613-04-18T12:00:00Z,1,1,2,3.632784128189087,"[{""component_p"":4.054842975165229e-06,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]},{""component_p"":0.005744360852986574,""best_module_id"":""m014"",""best_module_label"":""Pluto-centered six-body directed hinge"",""families"":[""f05_2021_sep11""],""module_ids"":[""m014""],""bodies"":[""Mars"",""Pluto"",""Saturn"",""Jupiter"",""Neptune"",""Uranus""]}]"
35,0107-07-21T12:00:00Z,0107-08-03T12:00:00Z,14,0107-07-28T12:00:00Z,1,1,2,3.540187358856201,"[{""component_p"":8.109685950330459e-06,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.0035547458101063967,""best_module_id"":""m054"",""best_module_label"":""Neptune\u2013Uranus\u2013Venus\u2013Mercury nested rail"",""families"":[""f14_2000_mar10""],""module_ids"":[""m054""],""bodies"":[""Neptune"",""Uranus"",""Venus"",""Mercury""]}]"
36,0941-12-11T12:00:00Z,0941-12-19T12:00:00Z,9,0941-12-14T12:00:00Z,1,1,2,3.4158682823181152,"[{""component_p"":1.4867758181935642e-05,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.002581583335995674,""best_module_id"":""m043"",""best_module_label"":""Uranus opposite Mercury/Venus gate"",""families"":[""f12_1929_oct24""],""module_ids"":[""m043""],""bodies"":[""Uranus"",""Mercury"",""Venus""]}]"
37,1805-11-03T12:00:00Z,1805-11-18T12:00:00Z,16,1805-11-08T12:00:00Z,1,1,2,3.405977249145508,"[{""component_p"":2.9735516363871284e-05,""best_module_id"":""m037"",""best_module_label"":""Mercury\u2013Neptune\u2013Mars midpoint"",""families"":[""f10_1978_dec11"",""f16_2020_mar11""],""module_ids"":[""m037"",""m069""],""bodies"":[""Mercury"",""Neptune"",""Mars""]},{""component_p"":0.0013205272844061255,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
38,0932-05-02T12:00:00Z,0932-05-17T12:00:00Z,16,0932-05-12T12:00:00Z,1,1,2,3.3935091495513916,"[{""component_p"":5.406457603385206e-06,""best_module_id"":""m063"",""best_module_label"":""May 22 Mercury\u2013Pluto\u2013Neptune triad"",""families"":[""f15_1918_spring""],""module_ids"":[""m059"",""m063""],""bodies"":[""Mercury"",""Pluto"",""Neptune""]},{""component_p"":0.007474427577108145,""best_module_id"":""m028"",""best_module_label"":""Venus/Jupiter to Neptune/Mars fork"",""families"":[""f08_1775_apr19""],""module_ids"":[""m028""],""bodies"":[""Venus"",""Jupiter"",""Neptune"",""Mars""]}]"
39,1659-12-02T12:00:00Z,1659-12-04T12:00:00Z,3,1659-12-03T12:00:00Z,1,1,2,3.3903403282165527,"[{""component_p"":1.7570986528880894e-05,""best_module_id"":""m008"",""best_module_label"":""Mercury\u2013Venus double node"",""families"":[""f03_2026_feb28""],""module_ids"":[""m008""],""bodies"":[""Mercury"",""Venus""]},{""component_p"":0.0023166669998317957,""best_module_id"":""m069"",""best_module_label"":""Saturn\u2013Mercury\u2013Neptune 30/20/50 rail"",""families"":[""f16_2020_mar11""],""module_ids"":[""m069""],""bodies"":[""Saturn"",""Mercury"",""Neptune""]}]"
40,1258-10-21T12:00:00Z,1258-10-30T12:00:00Z,10,1258-10-28T12:00:00Z,1,1,2,3.3778903484344482,"[{""component_p"":6.7580717768578324e-06,""best_module_id"":""m032"",""best_module_label"":""Jupiter\u2013Saturn 120 channel"",""families"":[""f09_1914_jun28""],""module_ids"":[""m032""],""bodies"":[""Jupiter"",""Saturn""]},{""component_p"":0.006198503542691469,""best_module_id"":""m050"",""best_module_label"":""Mercury\u2013Jupiter\u2013Venus 20/20/40 planet rail"",""families"":[""f13_1947_nov29""],""module_ids"":[""m050""],""bodies"":[""Mercury"",""Jupiter"",""Venus""]}]"
